full_date,date_key,full_date_str,year,quarter,month,month_name,day_of_month,day_of_week,day_name,is_weekend
2026-12-14,20261214,2026-12-14,2026,Q4,12,December,14,0,Monday,False
2026-12-15,20261215,2026-12-15,2026,Q4,12,December,15,1,Tuesday,False
2026-12-16,20261216,2026-12-16,2026,Q4,12,December,16,2,Wednesday,False
2026-12-17,20261217,2026-12-17,2026,Q4,12,December,17,3,Thursday,False
2026-12-18,20261218,2026-12-18,2026,Q4,12,December,18,4,Friday,False
2026-12-19,20261219,2026-12-19,2026,Q4,12,December,19,5,Saturday,True
2026-12-20,20261220,2026-12-20,2026,Q4,12,December,20,6,Sunday,True
2026-12-21,20261221,2026-12-21,2026,Q4,12,December,21,0,Monday,False
2026-12-22,20261222,2026-12-22,2026,Q4,12,December,22,1,Tuesday,False
2026-12-23,20261223,2026-12-23,2026,Q4,12,December,23,2,Wednesday,False
2026-12-24,20261224,2026-12-24,2026,Q4,12,December,24,3,Thursday,False
2026-12-25,20261225,2026-12-25,2026,Q4,12,December,25,4,Friday,False
2026-12-26,20261226,2026-12-26,2026,Q4,12,December,26,5,Saturday,True
2026-12-27,20261227,2026-12-27,2026,Q4,12,December,27,6,Sunday,True
2026-12-28,20261228,2026-12-28,2026,Q4,12,December,28,0,Monday,False
2026-12-29,20261229,2026-12-29,2026,Q4,12,December,29,1,Tuesday,False
2026-12-30,20261230,2026-12-30,2026,Q4,12,December,30,2,Wednesday,False
2026-12-31,20261231,2026-12-31,2026,Q4,12,December,31,3,Thursday,False
